brand_name,model_name,sales_year,sales_month,units_sold,data_quality,official_source,source_url
BYD,Atto 3,2022,6,20,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,7,21,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,8,24,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,9,28,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,10,32,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,11,35,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2022,12,40,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,1,133,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,2,137,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,3,156,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,4,142,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,5,129,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,6,118,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,7,124,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,8,142,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,9,167,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,10,194,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,11,213,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2023,12,245,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,1,98,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,2,101,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,3,115,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,4,105,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,5,95,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,6,87,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,7,91,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,8,105,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,9,123,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,10,143,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,11,157,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2024,12,180,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,1,77,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,2,79,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,3,90,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,4,82,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,5,75,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,6,68,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,7,72,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,8,82,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,9,97,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
BYD,Atto 3,2025,10,112,Estimated from Official Annual,"VAHAN Dashboard (Ministry of Road Transport & Highways) - Annual registrations, monthly split estimated",https://vahan.parivahan.gov.in/vahan4dashboard/
